Sample_ID_1	Sample_ID_2	Population_1	Population_2	Ind_1	Ind_2	CHRType	Ka	Value	Triangle
KAZ14001	KAZ14032	A	A	A_01	A_03	Allosome	K = 5	 0.023273	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Autosomes	K = 4	10	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Autosomes	K = 7	 0.004239	Individual
KAZ14001	KAZ14032	A	A	A_01	A_03	Allosome	K = 7	-0.017067	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Allosome	K = 5	10	Individual
KAZ14001	KAZ14032	A	A	A_01	A_03	Autosomes	K = 6	 0.002615	Individual
KAZ14001	KAZ14032	A	A	A_01	A_03	Autosomes	K = 7	 0.002615	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Allosome	K = 3	10	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Allosome	K = 4	 0.054718	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Allosome	K = 6	10	Individual
KAZ14001	KAZ14032	A	A	A_01	A_03	Autosomes	K = 4	 0.002615	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Autosomes	K = 2	10	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Allosome	K = 2	 0.090277	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Autosomes	K = 6	 0.004239	Individual
KAZ14001	KAZ14032	A	A	A_01	A_03	Autosomes	K = 3	 0.002615	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Allosome	K = 4	10	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Allosome	K = 7	-0.006673	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Autosomes	K = 2	 0.006500	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Autosomes	K = 7	 0.004098	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Autosomes	K = 4	 0.004449	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Autosomes	K = 6	 0.004098	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Allosome	K = 6	 0.070384	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Allosome	K = 5	 0.086009	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Allosome	K = 7	-0.004839	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Allosome	K = 4	10	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Allosome	K = 4	 0.070345	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Autosomes	K = 3	 0.004098	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Autosomes	K = 2	 0.007167	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Autosomes	K = 7	 0.004449	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Autosomes	K = 4	10	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Allosome	K = 7	 0.023813	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Allosome	K = 2	 0.091323	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Allosome	K = 3	 0.070360	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Allosome	K = 6	 0.085953	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Allosome	K = 2	 0.108217	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Autosomes	K = 5	 0.004098	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Autosomes	K = 3	10	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Allosome	K = 3	 0.086015	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Autosomes	K = 5	 0.003336	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Allosome	K = 6	10	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Allosome	K = 5	 0.062012	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Autosomes	K = 6	 0.003336	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Allosome	K = 5	 0.070345	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Autosomes	K = 7	10	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Autosomes	K = 2	10	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Autosomes	K = 6	10	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Autosomes	K = 4	 0.004098	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Allosome	K = 5	10	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Allosome	K = 3	 0.061994	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Autosomes	K = 3	 0.003336	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Autosomes	K = 5	 0.004449	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Allosome	K = 6	 0.061962	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Allosome	K = 2	10	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Allosome	K = 3	10	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Autosomes	K = 3	 0.004449	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Allosome	K = 7	10	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Autosomes	K = 7	 0.003336	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Autosomes	K = 2	 0.007331	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Allosome	K = 2	 0.136847	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Allosome	K = 4	 0.086012	Individual
KAZ14035	KAZ14035	A	A	A_04	A_04	Autosomes	K = 5	10	Individual
KAZ14001	KAZ14035	A	A	A_01	A_04	Autosomes	K = 4	 0.003336	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Allosome	K = 7	 0.023342	Individual
KAZ14003	KAZ14035	A	A	A_02	A_04	Autosomes	K = 6	 0.004449	Individual
KAZ14032	KAZ14035	A	A	A_03	A_04	Allosome	K = 4	 0.062016	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Autosomes	K = 6	 0.001820	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Autosomes	K = 4	 0.007679	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Allosome	K = 7	 0.009736	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Autosomes	K = 6	10	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Autosomes	K = 4	10	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Autosomes	K = 2	 0.010517	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Allosome	K = 3	 0.008844	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Autosomes	K = 5	 0.003064	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Allosome	K = 2	10	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Allosome	K = 5	-0.008201	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Allosome	K = 2	 0.056704	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Autosomes	K = 5	10	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Autosomes	K = 7	 0.007679	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Allosome	K = 7	-0.011838	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Allosome	K = 2	 0.067804	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Autosomes	K = 6	 0.007679	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Autosomes	K = 3	 0.003064	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Autosomes	K = 3	 0.007679	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Allosome	K = 3	 0.036197	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Allosome	K = 4	 0.029224	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Allosome	K = 4	 0.036254	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Allosome	K = 3	 0.029362	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Autosomes	K = 7	 0.003064	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Allosome	K = 6	10	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Allosome	K = 7	10	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Autosomes	K = 3	 0.001820	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Allosome	K = 5	 0.008848	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Allosome	K = 3	-0.008131	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Autosomes	K = 5	 0.001820	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Allosome	K = 5	 0.029226	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Autosomes	K = 3	 0.008587	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Allosome	K = 5	 0.036252	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Allosome	K = 6	 0.029290	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Autosomes	K = 5	 0.007679	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Allosome	K = 2	 0.037915	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Autosomes	K = 7	 0.001820	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Autosomes	K = 4	 0.001820	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Autosomes	K = 7	 0.008587	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Autosomes	K = 6	 0.008587	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Allosome	K = 6	 0.036238	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Autosomes	K = 2	10	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Autosomes	K = 2	 0.006329	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Allosome	K = 4	 0.008845	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Autosomes	K = 3	10	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Autosomes	K = 4	 0.008587	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Autosomes	K = 5	 0.008587	Individual
KAZ14032	KAZ14053	A	A	A_03	A_05	Autosomes	K = 2	 0.005195	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Allosome	K = 7	-0.013929	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Autosomes	K = 6	 0.003064	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Allosome	K = 6	 0.008939	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Allosome	K = 4	10	Individual
KAZ14001	KAZ14053	A	A	A_01	A_05	Autosomes	K = 4	 0.003064	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Autosomes	K = 7	10	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Allosome	K = 2	 0.037366	Individual
KAZ14035	KAZ14053	A	A	A_04	A_05	Autosomes	K = 2	 0.011330	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Allosome	K = 4	-0.008199	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Allosome	K = 6	-0.008229	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Allosome	K = 5	10	Individual
KAZ14003	KAZ14053	A	A	A_02	A_05	Allosome	K = 7	-0.041997	Individual
KAZ14053	KAZ14053	A	A	A_05	A_05	Allosome	K = 3	10	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Allosome	K = 7	-0.010025	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Autosomes	K = 6	 0.006224	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Autosomes	K = 6	 0.003914	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Autosomes	K = 3	 0.008006	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Allosome	K = 2	 0.035630	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Allosome	K = 4	10	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Autosomes	K = 4	 0.004944	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Autosomes	K = 3	 0.003914	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Autosomes	K = 7	 0.008006	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Autosomes	K = 6	 0.004944	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Allosome	K = 2	 0.058298	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Autosomes	K = 2	 0.007825	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Allosome	K = 2	 0.059224	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Allosome	K = 4	 0.004656	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Allosome	K = 3	 0.022920	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Allosome	K = 5	 0.018656	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Allosome	K = 5	 0.004656	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Autosomes	K = 7	 0.004944	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Autosomes	K = 5	 0.008006	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Autosomes	K = 2	10	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Allosome	K = 4	 0.020837	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Allosome	K = 5	 0.036256	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Autosomes	K = 6	10	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Autosomes	K = 7	10	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Allosome	K = 7	-0.021876	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Allosome	K = 7	-0.001972	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Allosome	K = 3	 0.018642	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Autosomes	K = 4	 0.006224	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Allosome	K = 3	 0.020973	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Autosomes	K = 3	 0.004944	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Allosome	K = 5	 0.022913	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Autosomes	K = 4	10	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Autosomes	K = 5	 0.006224	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Autosomes	K = 2	 0.009153	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Autosomes	K = 2	 0.011261	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Autosomes	K = 6	 0.008006	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Allosome	K = 6	 0.018588	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Allosome	K = 4	 0.022913	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Allosome	K = 3	10	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Allosome	K = 7	10	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Allosome	K = 2	10	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Autosomes	K = 3	 0.006224	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Allosome	K = 6	 0.020802	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Autosomes	K = 5	 0.003914	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Autosomes	K = 3	10	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Allosome	K = 6	 0.004681	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Autosomes	K = 4	 0.005966	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Allosome	K = 5	 0.020835	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Allosome	K = 6	10	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Allosome	K = 3	 0.036240	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Autosomes	K = 3	 0.005966	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Autosomes	K = 4	 0.003914	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Autosomes	K = 6	 0.005966	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Allosome	K = 4	 0.018659	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Autosomes	K = 7	 0.003914	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Allosome	K = 2	 0.052398	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Autosomes	K = 2	 0.007359	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Autosomes	K = 5	 0.004944	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Autosomes	K = 2	 0.008776	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Allosome	K = 6	 0.022917	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Allosome	K = 5	10	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Autosomes	K = 7	 0.006224	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Autosomes	K = 7	 0.005966	Individual
KAZ14053	KAZ14054	A	A	A_05	A_06	Allosome	K = 3	 0.004762	Individual
KAZ14054	KAZ14054	A	A	A_06	A_06	Autosomes	K = 5	10	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Allosome	K = 7	-0.048227	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Allosome	K = 4	 0.036259	Individual
KAZ14032	KAZ14054	A	A	A_03	A_06	Allosome	K = 6	 0.036200	Individual
KAZ14035	KAZ14054	A	A	A_04	A_06	Autosomes	K = 5	 0.005966	Individual
KAZ14001	KAZ14054	A	A	A_01	A_06	Autosomes	K = 4	 0.008006	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Allosome	K = 2	 0.062907	Individual
KAZ14003	KAZ14054	A	A	A_02	A_06	Allosome	K = 7	-0.027345	Individual
KAZ14003	KAZ14055	A	A	A_02	A_07	Autosomes	K = 4	 0.006803	Individual
KAZ14054	KAZ14055	A	A	A_06	A_07	Allosome	K = 4	 0.058999	Individual
KAZ14032	KAZ14055	A	A	A_03	A_07	Autosomes	K = 6	-0.000205	Individual
KAZ14032	KAZ14055	A	A	A_03	A_07	Allosome	K = 7	 0.002156	Individual
KAZ14055	KAZ14055	A	A	A_07	A_07	Autosomes	K = 5	10	Individual
KAZ14035	KAZ14055	A	A	A_04	A_07	Allosome	K = 4	 0.021799	Individual
KAZ14003	KAZ14055	A	A	A_02	A_07	Allosome	K = 5	 0.065625	Individual
KAZ14003	KAZ14055	A	A	A_02	A_07	Autosomes	K = 6	 0.006803	Individual
KAZ14053	KAZ14055	A	A	A_05	A_07	Allosome	K = 2	 0.076102	Individual
KAZ14001	KAZ14055	A	A	A_01	A_07	Autosomes	K = 7	 0.006090	Individual
KAZ14001	KAZ14055	A	A	A_01	A_07	Allosome	K = 3	 0.008804	Individual
KAZ14055	KAZ14055	A	A	A_07	A_07	Allosome	K = 7	10	Individual
KAZ14054	KAZ14055	A	A	A_06	A_07	Autosomes	K = 6	 0.004800	Individual
KAZ14055	KAZ14055	A	A	A_07	A_07	Autosomes	K = 3	10	Individual
KAZ14053	KAZ14055	A	A	A_05	A_07	Autosomes	K = 3	 0.010492	Individual
KAZ14032	KAZ14055	A	A	A_03	A_07	Allosome	K = 2	 0.054782	Individual
KAZ14032	KAZ14055	A	A	A_03	A_07	Autosomes	K = 3	-0.000205	Individual
KAZ14054	KAZ14055	A	A	A_06	A_07	Allosome	K = 7	 0.042495	Individual
KAZ14055	KAZ14055	A	A	A_07	A_07	Autosomes	K = 6	10	Individual
KAZ14053	KAZ14055	A	A	A_05	A_07	Autosomes	K = 4	 0.010492	Individual
KAZ14054	KAZ14055	A	A	A_06	A_07	Autosomes	K = 7	 0.004800	Individual
KAZ14054	KAZ14055	A	A	A_06	A_07	Autosomes	K = 2	 0.007669	Individual
KAZ14035	KAZ14055	A	A	A_04	A_07	Autosomes	K = 7	 0.007476	Individual
KAZ14001	KAZ14055	A	A	A_01	A_07	Allosome	K = 7	-0.009095	Individual
KAZ14053	KAZ14055	A	A	A_05	A_07	Autosomes	K = 5	 0.010492	Individual
KAZ14001	KAZ14055	A	A	A_01	A_07	Autosomes	K = 2	 0.009185	Individual
KAZ14032	KAZ14055	A	A	A_03	A_07	Autosomes	K = 7	-0.000205	Individual
KAZ14055	KAZ14055	A	A	A_07	A_07	Autosomes	K = 4	10	Individual
KAZ14001	KAZ14055	A	A	A_01	A_07	Autosomes	K = 6	 0.006090	Individual
KAZ14035	KAZ14055	A	A	A_04	A_07	Allosome	K = 6	 0.021801	Individual
KAZ14053	KAZ14055	A	A	A_05	A_07	Allosome	K = 6	 0.042937	Individual
KAZ14054	KAZ14055	A	A	A_06	A_07	Allosome	K = 3	 0.059118	Individual
KAZ14035	KAZ14055	A	A	A_04	A_07	Allosome	K = 2	 0.064191	Individual
KAZ14001	KAZ14055	A	A	A_01	A_07	Autosomes	K = 5	 0.006090	Individual
KAZ14035	KAZ14055	A	A	A_04	A_07	Autosomes	K = 3	 0.007476	Individual
KAZ14035	KAZ14055	A	A	A_04	A_07	Allosome	K = 3	 0.021967	Individual
KAZ14055	KAZ14055	A	A	A_07	A_07	Allosome	K = 5	10	Individual
KAZ14032	KAZ14055	A	A	A_03	A_07	Allosome	K = 3	 0.034747	Individual
KAZ14003	KAZ14055	A	A	A_02	A_07	Allosome	K = 4	 0.065630	Individual
KAZ14003	KAZ14055	A	A	A_02	A_07	Allosome	K = 6	 0.065577	Individual
KAZ14055	KAZ14055	A	A	A_07	A_07	Allosome	K = 4	10	Individual
KAZ14054	KAZ14055	A	A	A_06	A_07	Allosome	K = 2	 0.087121	Individual
KAZ14032	KAZ14055	A	A	A_03	A_07	Autosomes	K = 5	-0.000205	Individual
KAZ14003	KAZ14055	A	A	A_02	A_07	Autosomes	K = 5	 0.006803	Individual
KAZ14003	KAZ14055	A	A	A_02	A_07	Autosomes	K = 3	 0.006803	Individual
KAZ14055	KAZ14055	A	A	A_07	A_07	Allosome	K = 6	10	Individual
KAZ14035	KAZ14055	A	A	A_04	A_07	Allosome	K = 7	-0.035156	Individual
KAZ14001	KAZ14055	A	A	A_01	A_07	Autosomes	K = 3	 0.006090	Individual
KAZ14053	KAZ14055	A	A	A_05	A_07	Autosomes	K = 2	 0.013187	Individual
KAZ14053	KAZ14055	A	A	A_05	A_07	Autosomes	K = 6	 0.010492	Individual
KAZ14053	KAZ14055	A	A	A_05	A_07	Allosome	K = 7	 0.027975	Individual
KAZ14001	KAZ14055	A	A	A_01	A_07	Allosome	K = 4	 0.008780	Individual
KAZ14003	KAZ14055	A	A	A_02	A_07	Allosome	K = 3	 0.065645	Individual
